@relation segment

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Minimum_1.0 numeric
@attribute Median_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Minimum_2.0 numeric
@attribute Median_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Minimum_4.0 numeric
@attribute Median_4.0 numeric
@attribute class {plant1,plant2,plant3,background}

@data
86,76,63,101,86,87,82.333333,85,87,88.666667,78,87.666667,88.666667,89.666667,71,90.333333,plant2
82.333333,74,65,97,82.333333,85.333333,78,84.333333,85,88,76,87.666667,87.666667,89,71,90.333333,plant2
84.666667,76,61,99,84.666667,86,76.333333,84.333333,85.666667,86.666667,71,85.666667,86.666667,87.333333,70.666667,88.333333,plant2
89,71,61,103,89,87,76.333333,87,87,85.666667,71,84,85.666667,85.666667,70.333333,84.666667,plant2
93.666667,80,60,110,93.666667,91.666667,85.666667,91.666667,91.666667,89.666667,79.666667,89.666667,89.666667,88,73,88,plant2
95.666667,80,59,112,95.666667,93.666667,89.666667,93.666667,93.666667,91.333333,83.666667,91,90.666667,87.666667,74.666667,88,plant2
95.666667,80,59,112,95.666667,93.666667,86,95.666667,93.666667,91,82.333333,91.666667,90.666667,88.333333,71,88.333333,plant2
91,78,61,107,91,90,82.333333,90,90.333333,89.333333,77,90,89.333333,88.333333,71,90,plant2
84,76,64,99,84,85,77,84.666667,85,87,71,86,87,88,71,88.666667,plant2
78,76,68,93,78,81.333333,71,82.333333,81,84,71,84.333333,84.333333,86.333333,70.333333,85.666667,plant2
76.333333,71,72,91,76.333333,79.333333,71,77.333333,79.333333,81.333333,71,79.333333,82.333333,84.333333,70.333333,83.333333,plant2
92.666667,80,60,109,92.666667,91.666667,87,92.666667,91.666667,91.333333,84.666667,90.333333,90.666667,89.333333,74.666667,89.666667,plant2
96.666667,80,58,113,96.666667,94.666667,88.666667,95.666667,94.666667,92.666667,85.333333,92.666667,91.666667,88.666667,76.666667,89,plant2
98.666667,80,57,115,98.666667,96,91,96,96.666667,93,84,93.666667,92,88,71,87.666667,plant2
96,78,59,112,96,93.666667,84,95.666667,94,91,77,92.666667,90,87.333333,71,88,plant2
87.666667,78,61,103,87.666667,87,77,87.666667,87.333333,86.666667,71,86,87,86.666667,70.666667,87.666667,plant2
77,76,69,92,77,80,71,78,79.666667,82.666667,71,82.333333,83.333333,85.666667,70.333333,84.333333,plant2
71,73,77,86,72,75.333333,71,76,75,79.333333,70.666667,78.333333,80,84,70.333333,82,plant2
94.666667,80,59,111,94.666667,93.666667,85.333333,94.666667,93.666667,92.666667,84.666667,93.666667,91.666667,89.333333,77,89,plant2
98.666667,80,57,115,98.666667,96.666667,90.666667,96.666667,96.666667,93,85.333333,92.666667,92,88,71,88,plant2
98.666667,80,57,115,98.666667,95,87.666667,96,95.666667,91.333333,77,91.666667,90.333333,86.333333,71,86,plant2
91.666667,80,61,108,91.666667,89.333333,77,91.666667,89.666667,87,71,88,87,85.333333,70.666667,85,plant2
80.666667,78,66,96,80.666667,81.666667,71,80.666667,81.333333,82.666667,71,80.666667,83.333333,84.666667,70.333333,83.333333,plant2
95.666667,80,59,112,95.666667,93.666667,87.666667,94.666667,93.666667,91.666667,85,90.666667,90.666667,88,72.333333,88,plant2
96.666667,80,58,113,96.666667,93.666667,87.666667,92.666667,93.666667,90.666667,80.666667,90.666667,89.666667,86,71,86.333333,plant2
92.666667,80,60,109,92.666667,89.666667,80.666667,90.666667,89.666667,87,72.333333,87.333333,87,84.333333,70.666667,84,plant2
87,88,55,101,87,88.666667,80,88.333333,88.666667,90,77.333333,90.333333,90.333333,91.333333,77.333333,91.333333,plant2
80,88,59,94,80.666667,84,77.333333,83.333333,83.666667,87.666667,77.333333,87,88.333333,90.666667,77.333333,90.333333,plant2
98,90,54,113,98,96,87,94.666667,96,94.333333,80,93,93.666667,92.333333,77.333333,91.666667,plant2
94.333333,90,57,110,94.333333,93,80,92.333333,93,91.666667,77.333333,91.333333,91.666667,91.666667,77.333333,91,plant2
85,90,61,100,85,86.666667,77.333333,85,86.666667,88.666667,77.333333,86,89,90.666667,76.666667,89.666667,plant2
79,92,63,93,79,82.333333,77.333333,81.333333,82,86.333333,77.333333,85.333333,86.333333,89,71,88.666667,plant2
105,90,51,120,104.666667,100.666667,94.333333,101,101.333333,97,85,96.666667,96.333333,93,77.333333,93.333333,plant2
102.333333,90,54,118,101.666667,98.333333,85,98,98.666667,94.666667,79,94.666667,94.333333,92,77.333333,91.333333,plant2
92.333333,90,59,108,92.333333,90.666667,79,92.333333,91,90.333333,77.333333,87,90.666667,90.333333,76.666667,89.333333,plant2
82.333333,92,63,97,82.333333,84.666667,78.666667,82.666667,84,87,77.333333,84.666667,87.333333,89,71,87,plant2
107.666667,92,55,124,107,103.333333,99.666667,104,104,99.333333,92.333333,99,98,93.666667,78.666667,94.666667,plant2
104.666667,92,56,121,104.666667,101.333333,92.333333,104,101.333333,97,82.333333,99,96,92.333333,77.333333,94,plant2
94.333333,93,60,110,94.333333,93.666667,82.333333,94.333333,93.666667,92.333333,78.666667,93.666667,92.333333,91,76.666667,91.333333,plant2
84,90,61,99,84,86,79.666667,84,85.666667,88,78.666667,85.333333,88.333333,89.333333,71,86.666667,plant2
101,93,54,116,101,100.666667,96.666667,100.333333,100.666667,99.666667,94,98.333333,98.333333,95,80,95.333333,plant2
106.333333,96,56,122,106,102.666667,98,102.666667,103.333333,99.666667,94,98.666667,98.666667,94.666667,80,95,plant2
103.666667,95,59,120,103.666667,101,94,102,101,97.666667,84,98,96.666667,93.666667,78.666667,95,plant2
94.666667,94,60,110,94.666667,94.333333,84,94.666667,94.333333,94,80,94.333333,93,92.333333,77.333333,94.333333,plant2
84.666667,90,59,99,84.666667,86.666667,80.333333,84.666667,86.666667,89,79.333333,87,89.333333,90.333333,71.333333,87.666667,plant2
80.666667,87,52,93,80.666667,83.666667,80.333333,83.666667,83.333333,85.333333,79.333333,84.333333,85.333333,87.333333,63,85.333333,plant2
98,96,58,113,98,99,96,98,99,99,92.333333,98,98,95.333333,80.333333,95.333333,plant2
102,97,60,118,102,100,95.666667,100,100,98.666667,92.333333,98,98,95.333333,80.333333,96,plant2
100.333333,98,61,116,100.333333,99,94.333333,96.333333,99,97.333333,84.666667,96.333333,96.666667,95.333333,80,96,plant2
94.333333,96,62,110,94.333333,94,84.666667,94.333333,94,93.666667,80.333333,95,94,93.666667,78.666667,95,plant2
86.333333,92,60,101,86.333333,88,80.333333,87,88,91,80.333333,91.666667,90.666667,91.666667,72,93,plant2
80.333333,85,52,93,81.333333,84.666667,80.333333,85,84.333333,87.333333,80,85.666667,87.333333,88.333333,63,87,plant2
96,99,62,111,96,97,92.333333,97,97,97,90.333333,96.666667,96.333333,95.333333,81.333333,95.666667,plant2
