@relation segment

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute 'Kuwahara_19_ 10_0' numeric
@attribute 'Kuwahara_19_ 10_1' numeric
@attribute 'Kuwahara_19_ 10_2' numeric
@attribute Sobel_filter_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Median_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Median_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Median_4.0 numeric
@attribute class {plant1,plant2,plant3,background}

@data
57.666667,44,71,64,58,58,58,14.666667,57.666667,13.666667,55.666667,60.333333,57.666667,57.666667,9.666667,53.666667,63.666667,59,58,3.666667,52.666667,66.666667,57.666667,plant1
55.666667,44,74,62,57,57,57,15.333333,55.666667,14.333333,53.666667,59,55.666667,56.666667,12,53.666667,64.333333,57.666667,57.666667,5,53.666667,66.666667,57.666667,plant1
53.666667,44,76,60,57,57,57,9,53.666667,9,53.666667,56.666667,55.666667,54.666667,9.666667,53.666667,64.333333,56.666667,57.333333,5,53.666667,66.666667,59,plant1
74.333333,64,78,88,72,73.333333,73.333333,42.333333,74.333333,41,69,83.333333,73.333333,74,31.666667,65.333333,84.333333,72.666667,73,14,59,84.333333,71.333333,plant2
78.666667,62,74,92,72,72,72,40,78.666667,38.666667,70,83.333333,77.666667,77.333333,30,66,84.333333,75.666667,74.666667,13.666667,61.666667,84.333333,71.333333,plant2
80,63,71,93,73,73,73,27.333333,80,27,73.333333,83.333333,77.666667,78.333333,23,69,84.333333,75.666667,75,13,63,84.333333,71.666667,plant2
76.666667,62,76,90,72.666667,72.666667,72.666667,30.666667,76.666667,30.333333,71,82,75.666667,76.333333,26.333333,66.666667,83.333333,73.666667,74.333333,15,63.333333,84.333333,72.333333,plant2
69.333333,59,83,82,69.333333,69.333333,69.333333,12.666667,69.333333,11.666667,66,75,70.333333,70.333333,7.333333,63,79.333333,70.333333,71.333333,2.666667,59,85.333333,71,plant2
70,63,79,83,70.666667,70.666667,70.666667,33,70,32.333333,66,78.666667,70.333333,70.666667,25.666667,63,83.333333,70.666667,72,11.333333,61.666667,84.333333,71.333333,plant2
73.333333,64,79,87,70.333333,70.333333,70.333333,42.666667,73.333333,41.666667,66,80,73.333333,73,33.333333,63,83.333333,71.333333,72.666667,16.333333,61.666667,84.333333,70.333333,plant2
75.666667,62,77,89,70.666667,70.666667,70.666667,32.666667,75.666667,31.666667,69,80,74.333333,74.666667,27.333333,65.333333,83.333333,73.333333,72.666667,16.666667,61.666667,84.333333,70.333333,plant2
74.333333,64,78,88,70.666667,70.666667,70.666667,31,74.333333,30,68.666667,80,73.333333,73.666667,26,65.333333,82,71.333333,72.666667,16,62.666667,84.333333,70.333333,plant2
71,63,78,84,68.666667,68.666667,70.333333,33.666667,71,32.666667,65.333333,76.666667,71,71,27.333333,63.333333,80,71,71.333333,15.333333,63.333333,83.333333,70.333333,plant2
74.333333,59,79,87,71,72,74,41.666667,74.333333,40.333333,67.333333,81,74.333333,73.333333,32,63,84.333333,73,73,13.666667,59.666667,84.333333,70.666667,plant2
68.333333,59,85,81,69,69,69,32.666667,68.333333,31.333333,63,74.333333,69,69.333333,23.333333,61.666667,81,70.333333,71,10.333333,61.666667,84.666667,71,plant2
66,61,87,79,69,69,69,24,66,24,63,73.333333,68.333333,68,20,61.666667,78.666667,69,70,11,61.666667,85.333333,70.333333,plant2
69,61,83,82,69,69,69,37.333333,69,36.333333,63,75.666667,69,69,28.666667,61.666667,80,69,70.333333,15,61.666667,84.333333,70.333333,plant2
71.333333,62,78,84,69,69,69,28.333333,71.333333,27.333333,65.333333,75.666667,71,71,24,63,80,70,70.666667,14.333333,61.666667,84.333333,70,plant2
71,63,78,84,69.666667,69.666667,69.666667,20.666667,71,20.333333,68.666667,75.666667,71,71,17.666667,64.666667,80,70,70.666667,11.666667,61.666667,83.333333,70,plant2
68.666667,62,83,82,70.333333,70.333333,70.333333,25.666667,68.666667,25,65.333333,74.333333,68.666667,69,19.666667,63.333333,76.666667,70,69.666667,9.333333,62.666667,82,70.333333,plant2
65.333333,64,87,79,67,68,68,21.666667,65.333333,20.333333,63.333333,71,65.333333,66.333333,14,63.333333,74.333333,68.666667,68.666667,7,63.333333,80.333333,70.333333,plant2
81,58,71,93,71.333333,74,74,37,81,35.333333,74.333333,84.333333,80.666667,79,26.666667,67.333333,84.333333,76.666667,76,13.333333,61.666667,84.333333,73,plant2
74.333333,59,79,87,70.666667,70.666667,70.666667,52,74.333333,51,67.333333,81.333333,74.333333,74.333333,41.666667,61.666667,84.333333,74.333333,73.333333,19.666667,61.666667,84.333333,72,plant2
67.333333,59,86,80,68.333333,68.333333,70.666667,44.333333,67.333333,43,61.666667,74.666667,67.333333,68.333333,34,61.666667,81.333333,69,70.666667,17.666667,59.333333,84.333333,70.666667,plant2
63,61,90,76,63,63,63,16,63,16,61.666667,69,66,65.333333,14.666667,61.666667,74.666667,67.666667,69,11.333333,59.333333,84.666667,70.333333,plant2
65.333333,59,88,78,68,68,68,29,65.333333,28,61.666667,71.333333,66,66,20,61.666667,75.666667,68,68.666667,10,59.333333,83.333333,70.333333,plant2
